Feature,Percentage_Multiplier
building_area_total,0.1314
lot_width,0.041
bedrooms_above_grade,0.0061
bathrooms_total_integer,0.0331
parking_total,0.0514
basement_score,0.0205
interior_score,0.0331
exterior_score,0.016
