Feature,Percentage_Multiplier
building_area_total,0.0707
lot_width,0.0745
bedrooms_above_grade,-0.0159
bathrooms_total_integer,0.1122
parking_total,0.0604
basement_score,0.0211
interior_score,0.0163
exterior_score,0.0436
