Feature,Percentage_Multiplier
building_area_total,0.0241
lot_width,0.0
bedrooms_above_grade,0.0204
bathrooms_total_integer,0.0212
parking_total,-0.0085
basement_score,0.0086
interior_score,0.0162
exterior_score,0.0159
