Feature,Percentage_Multiplier
building_area_total,0.0366
lot_width,0.0
bedrooms_above_grade,-0.0004
bathrooms_total_integer,0.113
parking_total,0.0239
basement_score,0.0
interior_score,0.0138
exterior_score,-0.0367
