Feature,Percentage_Multiplier
building_area_total,0.038
lot_width,0.0
bedrooms_above_grade,-0.0176
bathrooms_total_integer,0.1147
parking_total,0.0479
basement_score,0.0181
interior_score,0.0162
exterior_score,0.0341
