Feature,Percentage_Multiplier
building_area_total,0.0646
lot_width,0.0134
bedrooms_above_grade,0.024
bathrooms_total_integer,0.015
parking_total,0.033
basement_score,-0.0051
interior_score,0.0071
exterior_score,0.0249
