Feature,Percentage_Multiplier
building_area_total,0.0272
lot_width,0.0178
bedrooms_above_grade,0.0052
bathrooms_total_integer,0.0102
parking_total,0.0165
basement_score,0.0341
interior_score,0.0136
exterior_score,0.028
