Feature,Percentage_Multiplier
building_area_total,0.0268
lot_width,0.0
bedrooms_above_grade,0.0317
bathrooms_total_integer,0.0803
parking_total,0.043
basement_score,-0.0136
interior_score,0.0113
exterior_score,0.0137
