Feature,Percentage_Multiplier
building_area_total,0.0275
lot_width,-0.04
bedrooms_above_grade,-0.0144
bathrooms_total_integer,0.156
parking_total,0.0116
basement_score,-0.004
interior_score,0.0097
exterior_score,0.0127
