Feature,Percentage_Multiplier
building_area_total,0.0539
lot_width,0.0297
bedrooms_above_grade,-0.0018
bathrooms_total_integer,0.0468
parking_total,-0.0163
basement_score,0.0268
interior_score,0.021
exterior_score,0.016
