Feature,Percentage_Multiplier
building_area_total,0.1482
lot_width,-0.0212
bedrooms_above_grade,0.0117
bathrooms_total_integer,0.007
parking_total,0.0751
basement_score,-0.0211
interior_score,0.0357
exterior_score,0.046
