Feature,Percentage_Multiplier
building_area_total,0.0703
lot_width,0.0256
bedrooms_above_grade,0.0083
bathrooms_total_integer,0.0284
parking_total,0.0151
basement_score,-0.0052
interior_score,0.0126
exterior_score,0.0022
