Feature,Percentage_Multiplier
building_area_total,0.0194
lot_width,0.0563
bedrooms_above_grade,0.0072
bathrooms_total_integer,0.017
parking_total,-0.0033
basement_score,0.0045
interior_score,0.0163
exterior_score,0.0047
