Feature,Percentage_Multiplier
building_area_total,0.0481
lot_width,0.0261
bedrooms_above_grade,-0.0052
bathrooms_total_integer,0.0268
parking_total,0.0503
basement_score,-0.0077
interior_score,0.0271
exterior_score,0.039
