Feature,Percentage_Multiplier
building_area_total,0.03
lot_width,0.0231
bedrooms_above_grade,0.0132
bathrooms_total_integer,0.0371
parking_total,0.0268
basement_score,-0.0167
interior_score,0.0035
exterior_score,0.0072
