Feature,Percentage_Multiplier
building_area_total,0.0119
lot_width,0.0944
bedrooms_above_grade,0.0079
bathrooms_total_integer,0.1205
parking_total,0.0221
basement_score,-0.0262
interior_score,0.0608
exterior_score,0.0507
