Feature,Percentage_Multiplier
building_area_total,0.0691
lot_width,0.0626
bedrooms_above_grade,0.0215
bathrooms_total_integer,0.0091
parking_total,0.1142
basement_score,-0.0054
interior_score,0.0086
exterior_score,0.0112
