Feature,Percentage_Multiplier
building_area_total,0.0836
lot_width,0.0024
bedrooms_above_grade,-0.0027
bathrooms_total_integer,0.0274
parking_total,0.0144
basement_score,-0.008
interior_score,0.011
exterior_score,-0.0099
