Feature,Percentage_Multiplier
building_area_total,0.0318
lot_width,0.0747
bedrooms_above_grade,0.017
bathrooms_total_integer,0.025
parking_total,0.0143
basement_score,0.0063
interior_score,-0.0028
exterior_score,-0.0039
