City_Region,Property_Type,Feature,Beta,Mean,StdDev
Downsview-Roding-CFB,Townhouse,building_area_total,0.062432,1365.1042,484.828137
Downsview-Roding-CFB,Townhouse,lot_width,-0.022716,16.7698,4.192159
Downsview-Roding-CFB,Townhouse,bedrooms_above_grade,0.085479,2.7925,0.876496
Downsview-Roding-CFB,Townhouse,bathrooms_total_integer,0.065911,2.7925,1.087814
Downsview-Roding-CFB,Townhouse,parking_total,-0.000719,1.4009,0.542617
Downsview-Roding-CFB,Townhouse,basement_score,0.02811,3.6604,2.746822
Downsview-Roding-CFB,Townhouse,interior_score,0.017932,3.7453,0.84743
Downsview-Roding-CFB,Townhouse,exterior_score,0.014648,2.1321,0.567608
