City_Region,Property_Type,Feature,Beta,Mean,StdDev
Woburn,Detached,building_area_total,0.015368,1288.1098,289.914979
Woburn,Detached,lot_width,0.011994,50.7992,13.099542
Woburn,Detached,bedrooms_above_grade,0.010125,3.166,0.452568
Woburn,Detached,bathrooms_total_integer,0.05841,2.2863,0.685489
Woburn,Detached,parking_total,0.007714,3.8257,1.302217
Woburn,Detached,basement_score,0.012177,6.0996,1.641791
Woburn,Detached,interior_score,0.021834,2.8755,0.973221
Woburn,Detached,exterior_score,0.000494,2.4357,0.857607
