City_Region,Property_Type,Total_Sales_Analyzed,Model_Accuracy_Score (R2),Average_Error_Margin,Base_Price,File_Name
Berczy,Townhouse,84,0.64,85345.0,1082242.0,Berczy_Townhouse_Matrix.csv
Lansing-Westgate,Detached,88,0.64,189217.0,1986523.0,Lansing-Westgate_Detached_Matrix.csv
7704 - Barrhaven - Heritage Park,Townhouse,109,0.64,37601.0,537383.0,7704_-_Barrhaven_-_Heritage_Park_Townhouse_Matrix.csv
443 - Lakeport,Townhouse,53,0.64,38887.0,464265.0,443_-_Lakeport_Townhouse_Matrix.csv
Westbrook,Detached,115,0.63,127852.0,1618091.0,Westbrook_Detached_Matrix.csv
Rural Flamborough,Detached,141,0.63,216363.0,1332714.0,Rural_Flamborough_Detached_Matrix.csv
Pringle Creek,Townhouse,152,0.63,31279.0,723997.0,Pringle_Creek_Townhouse_Matrix.csv
Orangeville,Detached,320,0.63,86176.0,881155.0,Orangeville_Detached_Matrix.csv
Macaulay,Detached,167,0.63,100115.0,723793.0,Macaulay_Detached_Matrix.csv
Clairlea-Birchmount,Townhouse,76,0.63,58564.0,792726.0,Clairlea-Birchmount_Townhouse_Matrix.csv
Tam O'Shanter-Sullivan,Condo Apartment,104,0.63,53422.0,565505.0,Tam_O'Shanter-Sullivan_Condo_Apartment_Matrix.csv
Madoc,Detached,157,0.63,106354.0,801164.0,Madoc_Detached_Matrix.csv
Listowel,Detached,109,0.63,82346.0,665986.0,Listowel_Detached_Matrix.csv
Crestwood-Springfarm-Yorkhill,Condo Apartment,167,0.63,58801.0,688321.0,Crestwood-Springfarm-Yorkhill_Condo_Apartment_Matrix.csv
Newcastle,Detached,225,0.63,81976.0,835339.0,Newcastle_Detached_Matrix.csv
Fergus,Detached,289,0.63,81801.0,835342.0,Fergus_Detached_Matrix.csv
Ingersoll - South,Detached,169,0.63,71602.0,628580.0,Ingersoll_-_South_Detached_Matrix.csv
Rural Whitchurch-Stouffville,Detached,130,0.63,400156.0,1982461.0,Rural_Whitchurch-Stouffville_Detached_Matrix.csv
3808 - Hunt Club Park,Detached,48,0.63,48765.0,805645.0,3808_-_Hunt_Club_Park_Detached_Matrix.csv
980 - Lincoln-Jordan/Vineland,Detached,90,0.63,132379.0,916658.0,980_-_Lincoln-Jordan_Vineland_Detached_Matrix.csv
Northgate,Detached,131,0.63,79380.0,849625.0,Northgate_Detached_Matrix.csv
Jefferson,Detached,141,0.63,127494.0,1756912.0,Jefferson_Detached_Matrix.csv
58 - Greater Napanee,Detached,253,0.62,92002.0,566003.0,58_-_Greater_Napanee_Detached_Matrix.csv
The Beaches,Condo Apartment,77,0.62,115901.0,975034.0,The_Beaches_Condo_Apartment_Matrix.csv
Meadowlands,Detached,73,0.62,96087.0,1246912.0,Meadowlands_Detached_Matrix.csv
14 - Central City East,Detached,123,0.62,153824.0,832025.0,14_-_Central_City_East_Detached_Matrix.csv
East Credit,Detached,285,0.62,104466.0,1352298.0,East_Credit_Detached_Matrix.csv
South X,Detached,97,0.62,32205.0,574980.0,South_X_Detached_Matrix.csv
Leaside,Detached,164,0.62,359723.0,2552131.0,Leaside_Detached_Matrix.csv
North M,Detached,99,0.62,37310.0,711586.0,North_M_Detached_Matrix.csv
Port Perry,Detached,220,0.62,122620.0,1045081.0,Port_Perry_Detached_Matrix.csv
Rathwood,Detached,128,0.62,144983.0,1349743.0,Rathwood_Detached_Matrix.csv
Tyandaga,Detached,74,0.62,183926.0,1566924.0,Tyandaga_Detached_Matrix.csv
Newtonbrook East,Condo Apartment,105,0.62,56382.0,591373.0,Newtonbrook_East_Condo_Apartment_Matrix.csv
St. Thomas,Detached,767,0.62,61771.0,560364.0,St._Thomas_Detached_Matrix.csv
Hillcrest Village,Townhouse,48,0.62,58254.0,779204.0,Hillcrest_Village_Townhouse_Matrix.csv
1022 - WT West Oak Trails,Detached,110,0.62,104882.0,1486450.0,1022_-_WT_West_Oak_Trails_Detached_Matrix.csv
Markland Wood,Condo Apartment,74,0.62,44216.0,659920.0,Markland_Wood_Condo_Apartment_Matrix.csv
Eastdale,Detached,162,0.62,61122.0,872246.0,Eastdale_Detached_Matrix.csv
St. Patrick's Ward,Condo Apartment,63,0.62,52415.0,582124.0,St._Patrick's_Ward_Condo_Apartment_Matrix.csv
Brockton,Detached,130,0.62,110592.0,574652.0,Brockton_Detached_Matrix.csv
High Park-Swansea,Detached,128,0.61,308278.0,2120395.0,High_Park-Swansea_Detached_Matrix.csv
601 - Village of Russell,Detached,108,0.61,47770.0,717498.0,601_-_Village_of_Russell_Detached_Matrix.csv
Georgetown,Detached,502,0.61,121273.0,1114842.0,Georgetown_Detached_Matrix.csv
7710 - Barrhaven East,Detached,84,0.61,51861.0,851097.0,7710_-_Barrhaven_East_Detached_Matrix.csv
Vincent,Townhouse,43,0.61,54984.0,560595.0,Vincent_Townhouse_Matrix.csv
Church-Yonge Corridor,Condo Apartment,772,0.61,74411.0,632538.0,Church-Yonge_Corridor_Condo_Apartment_Matrix.csv
551 - Mcnab/Braeside Twps,Detached,114,0.61,104570.0,606260.0,551_-_Mcnab_Braeside_Twps_Detached_Matrix.csv
Malvern,Townhouse,131,0.61,60498.0,656427.0,Malvern_Townhouse_Matrix.csv
1119 - Notting Hill/Summerside,Townhouse,70,0.61,24089.0,582439.0,1119_-_Notting_Hill_Summerside_Townhouse_Matrix.csv
Central Park,Detached,138,0.61,55879.0,790613.0,Central_Park_Detached_Matrix.csv
44 - City North of 401,Detached,113,0.61,107577.0,669639.0,44_-_City_North_of_401_Detached_Matrix.csv
9002 - Kanata - Katimavik,Townhouse,120,0.61,41471.0,452950.0,9002_-_Kanata_-_Katimavik_Townhouse_Matrix.csv
Pringle Creek,Detached,169,0.61,87490.0,1025071.0,Pringle_Creek_Detached_Matrix.csv
1045 - AC Acton,Detached,152,0.61,67479.0,895280.0,1045_-_AC_Acton_Detached_Matrix.csv
Minto,Detached,111,0.61,101831.0,630057.0,Minto_Detached_Matrix.csv
1010 - JM Joshua Meadows,Townhouse,91,0.61,72219.0,1047572.0,1010_-_JM_Joshua_Meadows_Townhouse_Matrix.csv
Town Ward 3,Detached,195,0.61,58892.0,509624.0,Town_Ward_3_Detached_Matrix.csv
Madoc,Townhouse,53,0.61,34539.0,647000.0,Madoc_Townhouse_Matrix.csv
Hanover,Detached,142,0.61,64007.0,523896.0,Hanover_Detached_Matrix.csv
Markland Wood,Detached,71,0.61,151409.0,1500298.0,Markland_Wood_Detached_Matrix.csv
Cliffcrest,Detached,144,0.61,163680.0,1253499.0,Cliffcrest_Detached_Matrix.csv
2010 - Chateauneuf,Detached,76,0.61,48484.0,696095.0,2010_-_Chateauneuf_Detached_Matrix.csv
Woodstock - North,Townhouse,164,0.61,60219.0,533649.0,Woodstock_-_North_Townhouse_Matrix.csv
Sandringham-Wellington,Detached,350,0.61,75008.0,1127083.0,Sandringham-Wellington_Detached_Matrix.csv
Uxbridge,Detached,157,0.6,176430.0,1184898.0,Uxbridge_Detached_Matrix.csv
Orillia,Townhouse,108,0.6,59163.0,569031.0,Orillia_Townhouse_Matrix.csv
Georgetown,Townhouse,164,0.6,63071.0,779021.0,Georgetown_Townhouse_Matrix.csv
Maple,Condo Apartment,102,0.6,59843.0,651112.0,Maple_Condo_Apartment_Matrix.csv
101 - Town,Detached,96,0.6,205115.0,1340681.0,101_-_Town_Detached_Matrix.csv
South N,Townhouse,40,0.6,54417.0,466970.0,South_N_Townhouse_Matrix.csv
Rural Aurora,Detached,79,0.6,131927.0,1721779.0,Rural_Aurora_Detached_Matrix.csv
1005 - FA Falgarwood,Detached,88,0.6,124359.0,1360308.0,1005_-_FA_Falgarwood_Detached_Matrix.csv
Westgate,Detached,113,0.6,95354.0,1005372.0,Westgate_Detached_Matrix.csv
North P,Detached,55,0.6,58830.0,720334.0,North_P_Detached_Matrix.csv
213 - Ascot,Detached,114,0.6,56200.0,691204.0,213_-_Ascot_Detached_Matrix.csv
Holly,Detached,193,0.6,60683.0,786171.0,Holly_Detached_Matrix.csv
Northwood Park,Detached,87,0.6,68882.0,977719.0,Northwood_Park_Detached_Matrix.csv
Kennedy Park,Detached,74,0.59,109057.0,950609.0,Kennedy_Park_Detached_Matrix.csv
Lisgar,Detached,202,0.59,105232.0,1178964.0,Lisgar_Detached_Matrix.csv
Brant,Detached,191,0.59,237254.0,1343410.0,Brant_Detached_Matrix.csv
Annex,Detached,43,0.59,871929.0,3339525.0,Annex_Detached_Matrix.csv
8203 - Stittsville (South),Townhouse,74,0.59,29652.0,653294.0,8203_-_Stittsville_(South)_Townhouse_Matrix.csv
Heart Lake East,Detached,80,0.59,75215.0,973484.0,Heart_Lake_East_Detached_Matrix.csv
Bradford,Detached,383,0.59,99602.0,1071634.0,Bradford_Detached_Matrix.csv
1033 - HA Harrison,Detached,77,0.59,84423.0,1202738.0,1033_-_HA_Harrison_Detached_Matrix.csv
North E,Detached,73,0.59,43486.0,762026.0,North_E_Detached_Matrix.csv
Cooksville,Detached,115,0.59,217649.0,1372119.0,Cooksville_Detached_Matrix.csv
1102 - Bilberry Creek/Queenswood Heights,Detached,102,0.59,63857.0,658727.0,1102_-_Bilberry_Creek_Queenswood_Heights_Detached_Matrix.csv
West Humber-Clairville,Detached,115,0.58,65051.0,985567.0,West_Humber-Clairville_Detached_Matrix.csv
1010 - JM Joshua Meadows,Detached,43,0.58,130720.0,1805159.0,1010_-_JM_Joshua_Meadows_Detached_Matrix.csv
Angus,Detached,204,0.58,62743.0,766146.0,Angus_Detached_Matrix.csv
Lisgar,Townhouse,66,0.58,70059.0,794752.0,Lisgar_Townhouse_Matrix.csv
Fairview,Condo Apartment,54,0.58,35175.0,521515.0,Fairview_Condo_Apartment_Matrix.csv
Innis-Shore,Detached,145,0.58,89707.0,942398.0,Innis-Shore_Detached_Matrix.csv
982 - Beamsville,Detached,166,0.58,91050.0,844854.0,982_-_Beamsville_Detached_Matrix.csv
Belleville Ward,Detached,576,0.58,64197.0,501639.0,Belleville_Ward_Detached_Matrix.csv
Applewood,Detached,103,0.58,102875.0,1272798.0,Applewood_Detached_Matrix.csv
Berczy,Detached,120,0.58,109036.0,1634313.0,Berczy_Detached_Matrix.csv
Lindsay,Detached,408,0.58,58125.0,625663.0,Lindsay_Detached_Matrix.csv
1117 - Avalon West,Detached,66,0.58,64161.0,871083.0,1117_-_Avalon_West_Detached_Matrix.csv
206 - Stamford,Detached,71,0.58,75740.0,772037.0,206_-_Stamford_Detached_Matrix.csv
7607 - Centrepointe,Townhouse,56,0.58,41443.0,552867.0,7607_-_Centrepointe_Townhouse_Matrix.csv
7701 - Barrhaven - Pheasant Run,Townhouse,49,0.58,36391.0,432935.0,7701_-_Barrhaven_-_Pheasant_Run_Townhouse_Matrix.csv
Stouffville,Townhouse,188,0.58,53238.0,896741.0,Stouffville_Townhouse_Matrix.csv
Saugeen Shores,Townhouse,42,0.58,79570.0,562004.0,Saugeen_Shores_Townhouse_Matrix.csv
520 - Petawawa,Detached,346,0.58,63509.0,532251.0,520_-_Petawawa_Detached_Matrix.csv
Woodstock - South,Detached,218,0.58,54684.0,572571.0,Woodstock_-_South_Detached_Matrix.csv
Windfields,Detached,126,0.57,67270.0,1038162.0,Windfields_Detached_Matrix.csv
Port Whitby,Detached,51,0.57,77747.0,1063932.0,Port_Whitby_Detached_Matrix.csv
Streetsville,Townhouse,66,0.57,36572.0,800502.0,Streetsville_Townhouse_Matrix.csv
Grange Road,Townhouse,141,0.57,59774.0,670884.0,Grange_Road_Townhouse_Matrix.csv
Central West,Detached,231,0.57,97906.0,1031022.0,Central_West_Detached_Matrix.csv
1119 - Notting Hill/Summerside,Detached,66,0.57,40380.0,838373.0,1119_-_Notting_Hill_Summerside_Detached_Matrix.csv
Selwyn,Detached,310,0.57,139813.0,808432.0,Selwyn_Detached_Matrix.csv
Dunnville,Detached,147,0.57,87714.0,651081.0,Dunnville_Detached_Matrix.csv
Bowmanville,Townhouse,217,0.57,36739.0,690366.0,Bowmanville_Townhouse_Matrix.csv
557 - Thorold Downtown,Detached,142,0.56,68641.0,555411.0,557_-_Thorold_Downtown_Detached_Matrix.csv
Haldimand,Detached,434,0.56,100042.0,763135.0,Haldimand_Detached_Matrix.csv
Maple,Detached,263,0.56,104960.0,1371942.0,Maple_Detached_Matrix.csv
Rural Barrie Southeast,Detached,65,0.56,50814.0,954474.0,Rural_Barrie_Southeast_Detached_Matrix.csv
East G,Detached,91,0.56,51090.0,454330.0,East_G_Detached_Matrix.csv
1032 - FO Ford,Townhouse,114,0.56,42160.0,893153.0,1032_-_FO_Ford_Townhouse_Matrix.csv
662 - Fonthill,Detached,186,0.56,88097.0,922182.0,662_-_Fonthill_Detached_Matrix.csv
Meadowvale,Detached,209,0.56,74024.0,1090705.0,Meadowvale_Detached_Matrix.csv
1015 - RO River Oaks,Detached,170,0.56,136458.0,1574755.0,1015_-_RO_River_Oaks_Detached_Matrix.csv
1015 - RO River Oaks,Condo Apartment,103,0.56,59469.0,565144.0,1015_-_RO_River_Oaks_Condo_Apartment_Matrix.csv
Birchcliffe-Cliffside,Condo Apartment,62,0.56,112831.0,720752.0,Birchcliffe-Cliffside_Condo_Apartment_Matrix.csv
2602 - Riverside South/Gloucester Glen,Townhouse,234,0.56,40661.0,639738.0,2602_-_Riverside_South_Gloucester_Glen_Townhouse_Matrix.csv
High Park North,Detached,54,0.56,195145.0,1930729.0,High_Park_North_Detached_Matrix.csv
1038 - WI Willmott,Townhouse,107,0.56,40950.0,852470.0,1038_-_WI_Willmott_Townhouse_Matrix.csv
1036 - SC Scott,Detached,78,0.56,122951.0,1337273.0,1036_-_SC_Scott_Detached_Matrix.csv
Mount Pleasant East,Detached,94,0.56,338493.0,2069316.0,Mount_Pleasant_East_Detached_Matrix.csv
Alliston,Townhouse,78,0.56,50085.0,678516.0,Alliston_Townhouse_Matrix.csv
Keswick North,Detached,156,0.56,83656.0,905646.0,Keswick_North_Detached_Matrix.csv
Cobourg,Townhouse,93,0.56,59180.0,578525.0,Cobourg_Townhouse_Matrix.csv
Rose,Townhouse,112,0.56,114955.0,962725.0,Rose_Townhouse_Matrix.csv
South V,Detached,186,0.56,155697.0,1003625.0,South_V_Detached_Matrix.csv
Simcoe,Detached,97,0.55,72792.0,605508.0,Simcoe_Detached_Matrix.csv
Beverley Glen,Detached,45,0.55,186235.0,1838538.0,Beverley_Glen_Detached_Matrix.csv
1027 - CL Clarke,Detached,86,0.55,101486.0,1193483.0,1027_-_CL_Clarke_Detached_Matrix.csv
Penetanguishene,Detached,150,0.55,88406.0,656498.0,Penetanguishene_Detached_Matrix.csv
Kortright West,Detached,164,0.55,76091.0,897649.0,Kortright_West_Detached_Matrix.csv
Mount Olive-Silverstone-Jamestown,Condo Apartment,90,0.55,34585.0,519591.0,Mount_Olive-Silverstone-Jamestown_Condo_Apartment_Matrix.csv
Lakeview,Detached,338,0.55,239144.0,1153884.0,Lakeview_Detached_Matrix.csv
809 - Augusta Twp,Detached,110,0.55,66387.0,493210.0,809_-_Augusta_Twp_Detached_Matrix.csv
Gibson,Detached,92,0.55,82415.0,586298.0,Gibson_Detached_Matrix.csv
1002 - CO Central,Detached,76,0.55,409068.0,1472799.0,1002_-_CO_Central_Detached_Matrix.csv
Flemingdon Park,Condo Apartment,146,0.55,48807.0,511440.0,Flemingdon_Park_Condo_Apartment_Matrix.csv
2605 - Blossom Park/Kemp Park/Findlay Creek,Townhouse,161,0.55,61568.0,603672.0,2605_-_Blossom_Park_Kemp_Park_Findlay_Creek_Townhouse_Matrix.csv
Owen Sound,Detached,322,0.55,53452.0,500362.0,Owen_Sound_Detached_Matrix.csv
909 - Carleton Place,Townhouse,101,0.55,46261.0,531658.0,909_-_Carleton_Place_Townhouse_Matrix.csv
Dundas,Detached,207,0.55,138199.0,1078393.0,Dundas_Detached_Matrix.csv
909 - Carleton Place,Detached,160,0.55,69343.0,645849.0,909_-_Carleton_Place_Detached_Matrix.csv
18 - Central City West,Condo Apartment,44,0.55,63544.0,390777.0,18_-_Central_City_West_Condo_Apartment_Matrix.csv
Georgian Bluffs,Detached,179,0.55,130051.0,751273.0,Georgian_Bluffs_Detached_Matrix.csv
North I,Detached,118,0.55,46024.0,667895.0,North_I_Detached_Matrix.csv
Stratford,Detached,439,0.54,85293.0,656030.0,Stratford_Detached_Matrix.csv
Brampton South,Detached,91,0.54,81959.0,935870.0,Brampton_South_Detached_Matrix.csv
877 - Main Street,Detached,106,0.54,99068.0,525685.0,877_-_Main_Street_Detached_Matrix.csv
35 - East Gardiners Rd,Condo Apartment,48,0.54,23895.0,302040.0,35_-_East_Gardiners_Rd_Condo_Apartment_Matrix.csv
7708 - Barrhaven - Stonebridge,Townhouse,85,0.54,53124.0,621032.0,7708_-_Barrhaven_-_Stonebridge_Townhouse_Matrix.csv
Sonoma Heights,Detached,94,0.54,102940.0,1439699.0,Sonoma_Heights_Detached_Matrix.csv
Crescent Town,Condo Apartment,69,0.54,33073.0,446038.0,Crescent_Town_Condo_Apartment_Matrix.csv
Islington-City Centre West,Detached,191,0.54,199613.0,1632394.0,Islington-City_Centre_West_Detached_Matrix.csv
Rosedale-Moore Park,Condo Apartment,106,0.54,307489.0,1255332.0,Rosedale-Moore_Park_Condo_Apartment_Matrix.csv
9010 - Kanata - Emerald Meadows/Trailwest,Townhouse,402,0.54,32976.0,604152.0,9010_-_Kanata_-_Emerald_Meadows_Trailwest_Townhouse_Matrix.csv
Cabbagetown-South St. James Town,Townhouse,45,0.54,197455.0,1145510.0,Cabbagetown-South_St._James_Town_Townhouse_Matrix.csv
McLaughlin,Detached,195,0.54,64658.0,781616.0,McLaughlin_Detached_Matrix.csv
2013 - Mer Bleue/Bradley Estates/Anderson Park,Townhouse,133,0.54,28668.0,619676.0,2013_-_Mer_Bleue_Bradley_Estates_Anderson_Park_Townhouse_Matrix.csv
Heart Lake West,Detached,153,0.54,70977.0,952859.0,Heart_Lake_West_Detached_Matrix.csv
Downtown,Detached,77,0.54,110686.0,847194.0,Downtown_Detached_Matrix.csv
Middlefield,Detached,83,0.53,106863.0,1373467.0,Middlefield_Detached_Matrix.csv
606 - Town of Rockland,Detached,179,0.53,44564.0,598863.0,606_-_Town_of_Rockland_Detached_Matrix.csv
1029 - DE Dempsey,Detached,58,0.53,97610.0,1175741.0,1029_-_DE_Dempsey_Detached_Matrix.csv
NE,Detached,97,0.53,66275.0,724655.0,NE_Detached_Matrix.csv
Pleasant View,Detached,47,0.53,89032.0,1296602.0,Pleasant_View_Detached_Matrix.csv
1036 - SC Scott,Townhouse,41,0.53,51349.0,902341.0,1036_-_SC_Scott_Townhouse_Matrix.csv
South U,Detached,137,0.53,45944.0,744214.0,South_U_Detached_Matrix.csv
Willowdale West,Condo Apartment,235,0.53,66460.0,684287.0,Willowdale_West_Condo_Apartment_Matrix.csv
Binbrook,Detached,93,0.53,94025.0,923524.0,Binbrook_Detached_Matrix.csv
607 - Clarence/Rockland Twp,Detached,243,0.53,81493.0,666806.0,607_-_Clarence_Rockland_Twp_Detached_Matrix.csv
West Grey,Detached,187,0.53,114025.0,699366.0,West_Grey_Detached_Matrix.csv
Taunton North,Detached,99,0.53,84329.0,1110155.0,Taunton_North_Detached_Matrix.csv
Northern Bruce Peninsula,Detached,143,0.53,116793.0,624319.0,Northern_Bruce_Peninsula_Detached_Matrix.csv
Woburn,Condo Apartment,192,0.52,37089.0,508327.0,Woburn_Condo_Apartment_Matrix.csv
Fletcher's Meadow,Detached,368,0.52,67775.0,1025873.0,Fletcher's_Meadow_Detached_Matrix.csv
L'Amoreaux,Detached,109,0.52,91535.0,1239680.0,L'Amoreaux_Detached_Matrix.csv
3602 - Riverview Park,Townhouse,39,0.52,59983.0,558031.0,3602_-_Riverview_Park_Townhouse_Matrix.csv
773 - Lincoln/Crowland,Detached,256,0.52,63321.0,481786.0,773_-_Lincoln_Crowland_Detached_Matrix.csv
Central Newmarket,Condo Apartment,84,0.52,44582.0,566761.0,Central_Newmarket_Condo_Apartment_Matrix.csv
Keelesdale-Eglinton West,Detached,90,0.52,60962.0,903969.0,Keelesdale-Eglinton_West_Detached_Matrix.csv
Bolton West,Detached,76,0.52,90166.0,1112910.0,Bolton_West_Detached_Matrix.csv
Willow West/Sugarbush/West Acres,Detached,207,0.52,62131.0,877317.0,Willow_West_Sugarbush_West_Acres_Detached_Matrix.csv
Rouge Woods,Detached,98,0.52,129414.0,1691554.0,Rouge_Woods_Detached_Matrix.csv
East End-Danforth,Detached,85,0.52,181540.0,1418427.0,East_End-Danforth_Detached_Matrix.csv
Highland Creek,Detached,97,0.52,120002.0,1250572.0,Highland_Creek_Detached_Matrix.csv
810 - Brockville,Detached,307,0.51,81263.0,470808.0,810_-_Brockville_Detached_Matrix.csv
Aylmer,Detached,136,0.51,48415.0,537231.0,Aylmer_Detached_Matrix.csv
Oak Ridges,Detached,134,0.51,133901.0,1581131.0,Oak_Ridges_Detached_Matrix.csv
Tillsonburg,Detached,321,0.51,63715.0,602989.0,Tillsonburg_Detached_Matrix.csv
1118 - Avalon East,Detached,106,0.51,68951.0,856522.0,1118_-_Avalon_East_Detached_Matrix.csv
14 - Central City East,Condo Apartment,61,0.51,101106.0,483930.0,14_-_Central_City_East_Condo_Apartment_Matrix.csv
Malvern,Detached,118,0.51,63162.0,895196.0,Malvern_Detached_Matrix.csv
Angus Glen,Townhouse,98,0.51,85204.0,1289916.0,Angus_Glen_Townhouse_Matrix.csv
Queen Street Corridor,Condo Apartment,122,0.51,36236.0,472693.0,Queen_Street_Corridor_Condo_Apartment_Matrix.csv
612 - Hawkesbury,Detached,128,0.51,48008.0,397015.0,612_-_Hawkesbury_Detached_Matrix.csv
Tillsonburg,Townhouse,71,0.51,41543.0,497862.0,Tillsonburg_Townhouse_Matrix.csv
Port Whitby,Condo Apartment,66,0.51,58869.0,629963.0,Port_Whitby_Condo_Apartment_Matrix.csv
444 - Carlton/Bunting,Detached,132,0.51,43953.0,622682.0,444_-_Carlton_Bunting_Detached_Matrix.csv
L'Amoreaux,Condo Apartment,132,0.51,53302.0,560230.0,L'Amoreaux_Condo_Apartment_Matrix.csv
Murray Ward,Detached,224,0.51,82498.0,673931.0,Murray_Ward_Detached_Matrix.csv
18 - Central City West,Detached,82,0.51,112477.0,629021.0,18_-_Central_City_West_Detached_Matrix.csv
Centennial Scarborough,Detached,118,0.51,151996.0,1226410.0,Centennial_Scarborough_Detached_Matrix.csv
East B,Detached,119,0.5,88964.0,772709.0,East_B_Detached_Matrix.csv
Holly,Townhouse,76,0.5,23836.0,609987.0,Holly_Townhouse_Matrix.csv
54 - Amherstview,Townhouse,45,0.5,70667.0,481836.0,54_-_Amherstview_Townhouse_Matrix.csv
Tam O'Shanter-Sullivan,Detached,118,0.5,90554.0,1153650.0,Tam_O'Shanter-Sullivan_Detached_Matrix.csv
444 - Carlton/Bunting,Townhouse,52,0.5,66786.0,441083.0,444_-_Carlton_Bunting_Townhouse_Matrix.csv
Angus Glen,Detached,40,0.5,103007.0,2060291.0,Angus_Glen_Detached_Matrix.csv
05 - Gananoque,Detached,88,0.5,112211.0,513365.0,05_-_Gananoque_Detached_Matrix.csv
Orillia,Detached,514,0.5,74337.0,638708.0,Orillia_Detached_Matrix.csv
Erin Mills,Townhouse,124,0.5,60349.0,779283.0,Erin_Mills_Townhouse_Matrix.csv
Orangeville,Townhouse,109,0.5,45333.0,671638.0,Orangeville_Townhouse_Matrix.csv
8211 - Stittsville (North),Townhouse,122,0.5,29704.0,599228.0,8211_-_Stittsville_(North)_Townhouse_Matrix.csv
550 - Arnprior,Detached,149,0.5,77993.0,550848.0,550_-_Arnprior_Detached_Matrix.csv
Elora/Salem,Detached,131,0.5,140759.0,1054079.0,Elora_Salem_Detached_Matrix.csv
Ancaster,Townhouse,144,0.5,53209.0,755582.0,Ancaster_Townhouse_Matrix.csv
Birchcliffe-Cliffside,Detached,300,0.5,233762.0,1252090.0,Birchcliffe-Cliffside_Detached_Matrix.csv
451 - Downtown,Detached,175,0.5,57377.0,494586.0,451_-_Downtown_Detached_Matrix.csv
Hurontario,Condo Apartment,256,0.49,61136.0,578227.0,Hurontario_Condo_Apartment_Matrix.csv
City Centre,Condo Apartment,919,0.49,52536.0,538869.0,City_Centre_Condo_Apartment_Matrix.csv
Rural Erin,Detached,120,0.49,243970.0,1408609.0,Rural_Erin_Detached_Matrix.csv
Stonegate-Queensway,Condo Apartment,81,0.49,75995.0,721357.0,Stonegate-Queensway_Condo_Apartment_Matrix.csv
42 - City Northwest,Detached,271,0.49,79760.0,745770.0,42_-_City_Northwest_Detached_Matrix.csv
KL & Area,Detached,171,0.49,60497.0,193636.0,KL_&_Area_Detached_Matrix.csv
Wismer,Detached,103,0.49,116171.0,1660875.0,Wismer_Detached_Matrix.csv
Brampton North,Townhouse,88,0.49,35334.0,688423.0,Brampton_North_Townhouse_Matrix.csv
9010 - Kanata - Emerald Meadows/Trailwest,Detached,183,0.49,75669.0,913514.0,9010_-_Kanata_-_Emerald_Meadows_Trailwest_Detached_Matrix.csv
North G,Detached,99,0.49,99572.0,874817.0,North_G_Detached_Matrix.csv
Monaghan Ward 2,Detached,250,0.49,55817.0,730509.0,Monaghan_Ward_2_Detached_Matrix.csv
Otonabee Ward 1,Detached,261,0.49,57576.0,553069.0,Otonabee_Ward_1_Detached_Matrix.csv
East End-Danforth,Condo Apartment,51,0.49,65600.0,613542.0,East_End-Danforth_Condo_Apartment_Matrix.csv
Markham Village,Detached,139,0.48,99385.0,1350500.0,Markham_Village_Detached_Matrix.csv
Waterdown,Townhouse,153,0.48,52615.0,811239.0,Waterdown_Townhouse_Matrix.csv
Churchill Meadows,Detached,144,0.48,111498.0,1404171.0,Churchill_Meadows_Detached_Matrix.csv
Fergus,Townhouse,65,0.48,60479.0,673178.0,Fergus_Townhouse_Matrix.csv
Bedford Park-Nortown,Condo Apartment,59,0.48,187437.0,1154744.0,Bedford_Park-Nortown_Condo_Apartment_Matrix.csv
Northeast Ajax,Townhouse,39,0.48,46218.0,793241.0,Northeast_Ajax_Townhouse_Matrix.csv
335 - Ridgeway,Detached,162,0.48,140948.0,690034.0,335_-_Ridgeway_Detached_Matrix.csv
9008 - Kanata - Morgan's Grant/South March,Townhouse,186,0.48,31458.0,604161.0,9008_-_Kanata_-_Morgan's_Grant_South_March_Townhouse_Matrix.csv
8209 - Goulbourn Twp From Franktown Rd/South To Rideau,Detached,97,0.48,53025.0,766124.0,8209_-_Goulbourn_Twp_From_Franktown_Rd_South_To_Rideau_Detached_Matrix.csv
Commerce Valley,Condo Apartment,165,0.48,66818.0,635023.0,Commerce_Valley_Condo_Apartment_Matrix.csv
Bowmanville,Condo Apartment,94,0.48,27012.0,473982.0,Bowmanville_Condo_Apartment_Matrix.csv
558 - Confederation Heights,Detached,73,0.48,83275.0,684644.0,558_-_Confederation_Heights_Detached_Matrix.csv
Stonegate-Queensway,Detached,235,0.48,278504.0,1659362.0,Stonegate-Queensway_Detached_Matrix.csv
1007 - GA Glen Abbey,Townhouse,72,0.48,119658.0,996391.0,1007_-_GA_Glen_Abbey_Townhouse_Matrix.csv
Eringate-Centennial-West Deane,Condo Apartment,48,0.48,33290.0,572753.0,Eringate-Centennial-West_Deane_Condo_Apartment_Matrix.csv
Amberlea,Detached,148,0.48,103457.0,1114178.0,Amberlea_Detached_Matrix.csv
Rural Scugog,Detached,158,0.48,209632.0,911874.0,Rural_Scugog_Detached_Matrix.csv
9003 - Kanata - Glencairn/Hazeldean,Detached,72,0.48,38241.0,661508.0,9003_-_Kanata_-_Glencairn_Hazeldean_Detached_Matrix.csv
Stouffville,Detached,373,0.47,116959.0,1289114.0,Stouffville_Detached_Matrix.csv
