City_Region,Property_Type,Feature,Beta,Mean,StdDev
Cobourg,Detached,building_area_total,0.076033,1507.0035,544.576352
Cobourg,Detached,lot_width,0.009604,66.6308,50.379598
Cobourg,Detached,bedrooms_above_grade,-0.020371,2.8238,0.744619
Cobourg,Detached,bathrooms_total_integer,0.080533,2.3549,0.821309
Cobourg,Detached,parking_total,0.039498,4.5117,2.158066
Cobourg,Detached,basement_score,0.020059,5.0518,1.58765
Cobourg,Detached,interior_score,0.030878,3.3497,0.97612
Cobourg,Detached,exterior_score,0.013478,2.8264,0.892354
