City_Region,Property_Type,Feature,Beta,Mean,StdDev
Greenwood-Coxwell,Detached,building_area_total,-0.004316,1636.3636,608.963691
Greenwood-Coxwell,Detached,lot_width,0.017604,23.2688,3.502619
Greenwood-Coxwell,Detached,bedrooms_above_grade,0.084685,2.8769,0.885919
Greenwood-Coxwell,Detached,bathrooms_total_integer,0.100876,2.8308,1.144475
Greenwood-Coxwell,Detached,parking_total,0.041282,1.7154,1.503763
Greenwood-Coxwell,Detached,basement_score,0.059131,6.2,2.091742
Greenwood-Coxwell,Detached,interior_score,0.041643,3.3385,1.206099
Greenwood-Coxwell,Detached,exterior_score,0.019251,2.4615,0.84265
