City_Region,Property_Type,Feature,Beta,Mean,StdDev
Rural Clarington,Detached,building_area_total,0.065516,2003.7736,806.392447
Rural Clarington,Detached,lot_width,0.04408,200.7957,227.530918
Rural Clarington,Detached,bedrooms_above_grade,0.019577,3.2394,0.895447
Rural Clarington,Detached,bathrooms_total_integer,0.129911,2.6056,1.119342
Rural Clarington,Detached,parking_total,0.06143,10.5986,4.605661
Rural Clarington,Detached,basement_score,0.053116,5.7958,2.064245
Rural Clarington,Detached,interior_score,0.067743,3.4507,1.084964
Rural Clarington,Detached,exterior_score,0.018813,2.6197,1.039585
