City_Region,Property_Type,Feature,Beta,Mean,StdDev
Observatory,Detached,building_area_total,0.139202,3172.3684,953.84936
Observatory,Detached,lot_width,-0.011566,44.3593,7.148778
Observatory,Detached,bedrooms_above_grade,0.030846,4.0435,0.62403
Observatory,Detached,bathrooms_total_integer,0.099482,4.8043,1.1909
Observatory,Detached,parking_total,0.008378,5.0435,1.178734
Observatory,Detached,basement_score,0.001038,4.9565,1.160145
Observatory,Detached,interior_score,0.075101,4.3261,1.001181
Observatory,Detached,exterior_score,0.04483,2.5217,0.902632
