City_Region,Property_Type,Feature,Beta,Mean,StdDev
Downsview-Roding-CFB,Detached,building_area_total,0.073827,1619.5,768.956923
Downsview-Roding-CFB,Detached,lot_width,0.005588,52.0086,14.178128
Downsview-Roding-CFB,Detached,bedrooms_above_grade,-0.004277,3.1399,0.609957
Downsview-Roding-CFB,Detached,bathrooms_total_integer,0.045959,2.5455,0.966048
Downsview-Roding-CFB,Detached,parking_total,0.008876,5.5245,2.044375
Downsview-Roding-CFB,Detached,basement_score,-0.010284,6.4615,1.413072
Downsview-Roding-CFB,Detached,interior_score,0.030976,3.007,1.034351
Downsview-Roding-CFB,Detached,exterior_score,0.008211,2.5105,0.883945
