City_Region,Property_Type,Feature,Beta,Mean,StdDev
Creditview,Detached,building_area_total,0.052176,2022.8507,490.90499
Creditview,Detached,lot_width,0.038693,35.5305,9.275325
Creditview,Detached,bedrooms_above_grade,0.045017,3.5,0.5
Creditview,Detached,bathrooms_total_integer,0.047114,3.4268,0.781345
Creditview,Detached,parking_total,0.004653,4.0305,1.172208
Creditview,Detached,basement_score,0.014462,5.5488,1.49105
Creditview,Detached,interior_score,0.020161,3.3171,1.057817
Creditview,Detached,exterior_score,-0.001045,2.2561,0.866884
