City_Region,Property_Type,Feature,Beta,Mean,StdDev
Douro-Dummer,Detached,building_area_total,0.062095,1667.8571,654.364598
Douro-Dummer,Detached,lot_width,0.070076,316.6868,433.276234
Douro-Dummer,Detached,bedrooms_above_grade,0.052584,2.9906,0.75854
Douro-Dummer,Detached,bathrooms_total_integer,0.070444,2.1132,0.88297
Douro-Dummer,Detached,parking_total,0.043497,8.0377,3.536
Douro-Dummer,Detached,basement_score,0.023707,5.2075,2.608827
Douro-Dummer,Detached,interior_score,0.003256,3.1509,0.866488
Douro-Dummer,Detached,exterior_score,0.11323,2.7358,0.924528
