City_Region,Property_Type,Feature,Beta,Mean,StdDev
Wexford-Maryvale,Detached,building_area_total,0.054513,1246.0952,464.973371
Wexford-Maryvale,Detached,lot_width,0.011148,44.5688,8.557099
Wexford-Maryvale,Detached,bedrooms_above_grade,5.2e-05,3.0556,0.582672
Wexford-Maryvale,Detached,bathrooms_total_integer,0.055278,2.4028,0.810688
Wexford-Maryvale,Detached,parking_total,0.015031,4.6088,1.816454
Wexford-Maryvale,Detached,basement_score,0.029573,6.3843,1.538257
Wexford-Maryvale,Detached,interior_score,0.014158,2.838,0.979722
Wexford-Maryvale,Detached,exterior_score,-0.003507,2.4306,0.766662
