Feature,Percentage_Multiplier
building_area_total,0.038
lot_width,-0.0132
bedrooms_above_grade,0.0058
bathrooms_total_integer,-0.0079
parking_total,0.0348
basement_score,0.016
interior_score,0.0169
exterior_score,0.0082
