Feature,Percentage_Multiplier
building_area_total,-0.0134
lot_width,0.0767
bedrooms_above_grade,0.0158
bathrooms_total_integer,0.0771
parking_total,0.0453
basement_score,0.0221
interior_score,0.0405
exterior_score,0.0173
