City_Region,Property_Type,Feature,Beta,Mean,StdDev
Eastdale,Detached,building_area_total,0.058402,1902.2321,624.299193
Eastdale,Detached,lot_width,-0.012828,46.0035,12.016349
Eastdale,Detached,bedrooms_above_grade,0.015968,3.3765,0.638434
Eastdale,Detached,bathrooms_total_integer,0.054466,3.0617,0.947325
Eastdale,Detached,parking_total,0.017236,4.7099,1.459038
Eastdale,Detached,basement_score,0.008565,5.9259,1.690772
Eastdale,Detached,interior_score,0.032224,3.3395,1.09524
Eastdale,Detached,exterior_score,-0.003796,2.6481,0.834978
