Feature,Percentage_Multiplier
building_area_total,0.0135
lot_width,0.0235
bedrooms_above_grade,0.0322
bathrooms_total_integer,0.0016
parking_total,-0.0082
basement_score,0.0029
interior_score,0.0062
exterior_score,0.002
