City_Region,Property_Type,Feature,Beta,Mean,StdDev
Centennial,Detached,building_area_total,0.058392,1429.4737,464.446175
Centennial,Detached,lot_width,0.00696,56.2789,18.858171
Centennial,Detached,bedrooms_above_grade,-0.001939,3.05,0.577247
Centennial,Detached,bathrooms_total_integer,0.02738,2.3071,0.6425
Centennial,Detached,parking_total,0.031025,4.8,1.459941
Centennial,Detached,basement_score,0.001571,5.7857,1.881435
Centennial,Detached,interior_score,0.021961,3.55,0.973396
Centennial,Detached,exterior_score,0.025448,2.7071,0.937294
