City_Region,Property_Type,Feature,Beta,Mean,StdDev
1036 - SC Scott,Detached,building_area_total,0.075215,2615.0423,581.177397
1036 - SC Scott,Detached,lot_width,0.051412,45.2154,25.184838
1036 - SC Scott,Detached,bedrooms_above_grade,0.009707,3.8333,0.58653
1036 - SC Scott,Detached,bathrooms_total_integer,0.038215,3.9359,0.867353
1036 - SC Scott,Detached,parking_total,0.023134,4.4359,1.276913
1036 - SC Scott,Detached,basement_score,0.013726,5.4231,1.235368
1036 - SC Scott,Detached,interior_score,0.004111,4.0385,1.079438
1036 - SC Scott,Detached,exterior_score,0.026784,2.9487,0.945942
