City_Region,Property_Type,Feature,Beta,Mean,StdDev
LaSalle,Detached,building_area_total,0.153114,1812.985,680.003007
LaSalle,Detached,lot_width,0.00408,72.8691,37.346415
LaSalle,Detached,bedrooms_above_grade,-0.015046,2.9932,0.721266
LaSalle,Detached,bathrooms_total_integer,0.090424,2.7297,0.927031
LaSalle,Detached,parking_total,0.006768,5.7061,2.290498
LaSalle,Detached,basement_score,0.013641,5.3784,1.604072
LaSalle,Detached,interior_score,0.072219,3.6419,1.13905
LaSalle,Detached,exterior_score,0.008711,3.1486,1.067739
