City_Region,Property_Type,Feature,Beta,Mean,StdDev
Clarkson,Detached,building_area_total,0.154694,2008.2834,932.680971
Clarkson,Detached,lot_width,0.040823,63.4295,30.223479
Clarkson,Detached,bedrooms_above_grade,0.018495,3.483,0.703284
Clarkson,Detached,bathrooms_total_integer,0.064273,2.9932,1.078526
Clarkson,Detached,parking_total,0.095767,5.5884,2.596898
Clarkson,Detached,basement_score,0.004752,5.9456,1.602644
Clarkson,Detached,interior_score,0.046097,3.6667,1.083791
Clarkson,Detached,exterior_score,0.016646,2.8367,1.154941
