City_Region,Property_Type,Feature,Beta,Mean,StdDev
1026 - CB Cobban,Detached,building_area_total,0.082856,2403.8462,428.9798
1026 - CB Cobban,Detached,lot_width,0.001715,38.7341,18.652075
1026 - CB Cobban,Detached,bedrooms_above_grade,0.002086,4.0253,0.449323
1026 - CB Cobban,Detached,bathrooms_total_integer,0.031763,3.7848,0.821713
1026 - CB Cobban,Detached,parking_total,0.028839,3.7848,1.165657
1026 - CB Cobban,Detached,basement_score,-0.016997,5.519,1.329897
1026 - CB Cobban,Detached,interior_score,-0.005148,3.9241,0.910865
1026 - CB Cobban,Detached,exterior_score,0.014581,2.4304,0.80636
