City_Region,Property_Type,Feature,Beta,Mean,StdDev
Kleinburg,Detached,building_area_total,0.070367,3128.9474,853.119784
Kleinburg,Detached,lot_width,0.061261,57.8902,48.075975
Kleinburg,Detached,bedrooms_above_grade,-0.000819,4.0979,0.67785
Kleinburg,Detached,bathrooms_total_integer,0.088895,4.5361,1.252312
Kleinburg,Detached,parking_total,0.131885,6.0825,3.390922
Kleinburg,Detached,basement_score,0.004046,5.5206,1.550553
Kleinburg,Detached,interior_score,0.011254,4.0103,1.230999
Kleinburg,Detached,exterior_score,0.051177,2.6907,1.019003
