City_Region,Property_Type,Feature,Beta,Mean,StdDev
Meaford,Detached,building_area_total,0.128891,1745.6781,668.980338
Meaford,Detached,lot_width,0.05825,199.7635,266.682449
Meaford,Detached,bedrooms_above_grade,-0.00122,2.9442,0.768629
Meaford,Detached,bathrooms_total_integer,0.095762,2.2589,0.836347
Meaford,Detached,parking_total,0.071142,6.797,3.732066
Meaford,Detached,basement_score,0.031045,4.9645,2.143046
Meaford,Detached,interior_score,0.011626,3.3452,0.983436
Meaford,Detached,exterior_score,0.040868,2.7868,1.044798
